Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 200 mg 40 ml 5 mg/ml,570 12,345 45,-,HOSPIRA ITALIA Srl,038094037,BGR,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 200 mg 40 ml 5 mg/ml,570 12,345 45,-,TEVA ITALIA Srl,038107076,BGR,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 200 mg 40 ml 5 mg/ml,570 12,345 45,-,SANDOZ SpA,040654055,BGR,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 200 mg/40 ml 5 mg/ml,570 12,345 45,-,SUN PHARMACEUTICALS ITALIA Srl,041761053,BGR,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 5 mg/ml 10 ml,203 67,123 41,-,ACCORD HEALTHCARE ITALIA Srl,041274010,BGS,
Oxaliplatino,OXALIPLATINO 100MG 20ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 5 mg/ml 20 ml,407 23,246 74,-,ACCORD HEALTHCARE ITALIA Srl,041274022,BGP,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 5 mg/ml 40 ml,570 12,345 45,-,ACCORD HEALTHCARE ITALIA Srl,041274034,BGR,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml,203 67,123 41,-,SANDOZ SpA,037876012,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml,203 67,123 41,-,MYLAN SpA,038097010,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml,203 67,123 41,-,SUN PHARMACEUTICALS ITALIA Srl,041761014,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml 5 mg/ml,203 67,123 41,-,HOSPIRA ITALIA Srl,038094013,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml 5 mg/ml,203 67,123 41,-,TEVA ITALIA Srl,038107025,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg 10 ml 5 mg/ml,203 67,123 41,-,ACTAVIS ITALY SpA,038248011,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino EV 50 mg/10 ml,203 67,123 41,-,SANDOZ SpA,040654016,BGS,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino infus 10 ml 50 mg,203 67,123 41,-,ACTAVIS ITALY SpA,039999014,BGS,
Oxaliplatino,OXALIPLATINO 100MG 20ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino infus 20 ml 100 mg,407 23,246 74,-,ACTAVIS ITALY SpA,039999026,BGP,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,OXALIPLATINO*1 flaconcino infus 40 ml 200 mg,570 12,345 45,-,ACTAVIS ITALY SpA,039999038,BGR,
Ossigeno,OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 40 LT METRI CUBI SVOLTI 140 8,OXO*200 bar gas med compresso pacco bomb 16 bomb 40 litri,1.361 54,872 96,-,EURO OSSIGENO Srl,038960050,043,140 80
Ossigeno,OSSIGENO GAS COMPRESSO 16 UNITA' 200 BAR 50 LT METRI CUBI SVOLTI 176,OXO*200 bar gas med compresso pacco bomb 16 bomb 50 litri,1.701 92,1.091 20,-,EURO OSSIGENO Srl,038960062,044,176 00
Desametasone,DESAMETASONE 700MCG 1 UNITA' USO INTRAVITREALE,OZURDEX*impianto intravitreale 700 mcg + applicatore,1.555 03,942 21,-,ALLERGAN SpA,040138012,AKR,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml,418 15,253 37,-,TEVA ITALIA Srl,037112024,BGU,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml,418 15,253 37,-,MYLAN SpA,037771021,BGU,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml,418 15,253 37,-,FRESENIUS KABI ITALIA Srl,039405030,BGU,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml 6 mg/ml,418 15,253 37,-,AUROBINDO PHARMA ITALIA Srl,038720025,BGU,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml 6 mg/ml,418 15,253 37,-,ACCORD HEALTHCARE ITALIA Srl,040573026,BGU,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 100 mg 16 7 ml 6mg/ml,418 15,253 37,-,SANDOZ SpA,037807029,BGU,
Paclitaxel,PACLITAXEL 150MG 25ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 150 mg 25 ml,627 26,380 06,-,TEVA ITALIA Srl,037112051,BGW,
Paclitaxel,PACLITAXEL 150MG 25ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 150 mg 25 ml 6 mg/ml,627 26,380 06,-,AUROBINDO PHARMA ITALIA Srl,038720037,BGW,
Paclitaxel,PACLITAXEL 150MG 25ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 150 mg 25 ml 6 mg/ml,627 26,380 06,-,ACCORD HEALTHCARE ITALIA Srl,040573040,BGW,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml,125 46,76 02,-,TEVA ITALIA Srl,037112012,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml,125 46,76 02,-,MYLAN SpA,037771019,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml 6 mg/ml,125 46,76 02,-,SANDOZ SpA,037807017,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml 6 mg/ml,627 26,380 06,-,SANDOZ SpA,037807031,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml 6 mg/ml,125 46,76 02,-,AUROBINDO PHARMA ITALIA Srl,038720013,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml 6 mg/ml,125 46,76 02,-,FRESENIUS KABI ITALIA Srl,039405016,BGY,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 30 mg 5 ml 6 mg/ml,125 46,76 02,-,ACCORD HEALTHCARE ITALIA Srl,040573014,BGY,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml,1.254 50,760 12,-,TEVA ITALIA Srl,037112036,BGX,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml,1.254 50,760 11,-,MYLAN SpA,037771033,BGX,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml 6 mg/ml,1.254 50,760 12,-,SANDOZ SpA,037807043,BGX,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml 6 mg/ml,1.254 50,760 12,-,AUROBINDO PHARMA ITALIA Srl,038720049,BGX,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml 6 mg/ml,1.254 50,760 12,-,FRESENIUS KABI ITALIA Srl,039405055,BGX,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,PACLITAXEL*1 flaconcino EV 300 mg 50 ml 6 mg/ml,1.254 50,760 12,-,ACCORD HEALTHCARE ITALIA Srl,040573038,BGX,
Paclitaxel,PACLITAXEL 30MG 5ML 5 UNITA' USO PARENTERALE,PACLITAXEL*5 flaconcini EV 30 mg 5 ml 6 mg/ml,627 29,380 09,-,SANDOZ SpA,037807056,BGZ,
Acido pamidronico,ACIDO PAMIDRONICO 30MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*1 fiala EV 30 mg 10 ml,68 96,41 79,-,HOSPIRA ITALIA Srl,035581026,ABS,
Acido pamidronico,ACIDO PAMIDRONICO 60MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*1 fiala EV 60 mg 10 ml,133 21,80 71,-,HOSPIRA ITALIA Srl,035581038,ABU,
Acido pamidronico,ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*1 fiala EV 90 mg 10 ml,201 25,121 93,-,HOSPIRA ITALIA Srl,035581040,ABW,
Acido pamidronico,ACIDO PAMIDRONICO 60MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*1 flacone 10 ml 60 mg/10 ml,177 56,80 71,-,HIKMA ITALIA SpA,035744034,ABU,
Acido pamidronico,ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*1 flacone 10 ml 90 mg/10 ml,268 26,121 93,-,HIKMA ITALIA SpA,035744046,ABW,
Acido pamidronico,ACIDO PAMIDRONICO 30MG 10ML 2 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*2 flaconi 10 ml 30 mg/10 ml,183 85,83 57,-,HIKMA ITALIA SpA,035744022,ABT,
Acido pamidronico,ACIDO PAMIDRONICO 15MG 5ML 4 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*4 flaconi 5 ml 15 mg/5 ml,185 10,84 13,-,HIKMA ITALIA SpA,035744010,ABQ,
Acido pamidronico,ACIDO PAMIDRONICO 15MG 5ML 5 UNITA' USO PARENTERALE,PAMIDRONATO DISODICO*5 fiale EV 15 mg,173 57,105 17,-,HOSPIRA ITALIA Srl,035581014,ABR,
Acido pamidronico,ACIDO PAMIDRONICO 30MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO*1 flaconcino EV 10 ml 3 mg/ml,51 73,31 34,-,TEVA ITALIA Srl,037127040,ABS,
Acido pamidronico,ACIDO PAMIDRONICO 60MG 20ML 1 UNITA' USO PARENTERALE,PAMIDRONATO*1 flaconcino EV 20 ml 3 mg/ml,99 93,60 55,-,TEVA ITALIA Srl,037127103,ABV,
Acido pamidronico,ACIDO PAMIDRONICO 90MG 30ML 1 UNITA' USO PARENTERALE,PAMIDRONATO*1 flaconcino EV 30 ml 3 mg/ml,150 97,91 48,-,TEVA ITALIA Srl,037127077,ABX,
Acido pamidronico,ACIDO PAMIDRONICO 15MG 5ML 1 UNITA' USO PARENTERALE,PAMIDRONATO*1 flaconcino EV 5 ml 3 mg/ml,26 04,15 78,-,TEVA ITALIA Srl,037127014,ABP,
Acido pamidronico,ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE,PAMIDRONATO*EV 1 flacone polv 90 mg + 1 flacone solv 10 ml,150 97,91 48,-,BIOINDUSTRIA L.I.M. SpA,036868040,ABW,
Pantoprazolo,PANTOPRAZOLO 40MG 1 UNITA' USO PARENTERALE,PANTOPRAZOLO TEVA GENERICS*1 flacone polv 40 mg,4 92,2 98,-,TEVA ITALIA Srl,041582014,BHM,
Pantoprazolo,PANTOPRAZOLO 40MG 1 UNITA' USO PARENTERALE,PANTOPRAZOLO*1 flacone 40 mg,4 92,2 98,-,SANDOZ SpA,037838012,BHM,
Pantoprazolo,PANTOPRAZOLO 40MG 1 UNITA' USO PARENTERALE,PANTOPRAZOLO*1 flacone 40 mg,4 92,2 98,-,SUN PHARMACEUTICALS ITALIA Srl,040184018,BHM,
Pantoprazolo,PANTOPRAZOLO 40MG 1 UNITA' USO PARENTERALE,PANTORC*1 flaconcino liof EV 40 mg,8 45,5 12,-,TAKEDA ITALIA SpA,031981020,BHM,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,PARAPLATIN*1 flacone EV 150 mg 15 ml 10 mg/ml,117 21,53 28,-,BRISTOL-MYERS SQUIBB Srl,026706046,AGU,
Manganese cloruro tetraidrato/potassio ioduro/rame cloruro diidrato/sodio fluoruro/sodio selenito/zinco cloruro,MANGANESE+POTASSIO IODURO+RAME+SODIO FLORURO+ZINCO+SELENIO 10ML 10 UNITA' USO PARENTERALE,PEDITRACE*10 flaconcini EV 10 ml,73 92,33 60,-,FRESENIUS KABI ITALIA Srl,029284015,BDK,
Pefloxacina,PEFLOXACINA 400MG 5ML 1 UNITA' USO PARENTERALE,PEFLACIN*1 fiala EV 400 mg 5 ml,11 23,5 10,-,SANOFI SpA,025934023,BHP,
Enoximone,ENOXIMONE 100MG 20ML 5 UNITA' USO PARENTERALE,PERFAN*5 fiale EV 100 mg 20 ml,81 48,49 37,-,INCA-PHARM Srl,026958049,AMY,
Pertuzumab,PERTUZUMAB 30MG/ML 420MG 1 UNITA' USO PARENTERALE,PERJETA*1 fiala EV 420 mg 14 ml 30 mg/ml,4.524 79,2.741 63,-,ROCHE SpA,042682017,CYL,
Eparina sodica,EPARINA SODICA 25.000UI 1 UNITA' USO PARENTERALE,PHAREPA*1 flaconcino EV 25.000 UI 5 ml,7 00,4 25,-,PHARMATEX ITALIA Srl,034692018,78B,
Eparina sodica,EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE,PHAREPA*10 fiale EV 25.000 UI 5 ml,53 62,32 49,-,PHARMATEX ITALIA Srl,034692020,AMZ,
Eparina sodica,EPARINA SODICA 25.000UI 5 UNITA' USO PARENTERALE,PHAREPA*5 flaconcini EV 25.000 UI 5 ml,17 36,10 52,-,PHARMATEX ITALIA Srl,034692044,ANE,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 1 UNITA' USO PARENTERALE,PIPERACILLINA E TAZOBACTAM*1 flaconcino EV 4 g + 0 5 g,13 82,8 38,-,FRESENIUS KABI ITALIA Srl,037353024,BHZ,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 1 UNITA' USO PARENTERALE,PIPERACILLINA E TAZOBACTAM*1 flaconcino EV 4 g + 0 5 g,13 82,8 38,-,TEVA ITALIA Srl,037666029,BHZ,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 1 UNITA' USO PARENTERALE,PIPERACILLINA E TAZOBACTAM*1 flaconcino EV 4 g + 0 5 g,13 82,8 38,-,IBIGEN Srl,038476038,BHZ,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 1 UNITA' USO PARENTERALE,PIPERACILLINA E TAZOBACTAM*1 flaconcino EV 4 g + 500 mg,13 82,8 38,-,MYLAN SpA,037668023,BHZ,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 10 UNITA' USO PARENTERALE,PIPERACILLINA E TAZOBACTAM*10 flaconi EV 4 g + 500 mg,138 25,83 77,-,SANDOZ SpA,038717082,BIF,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 1 UNITA' USO PARENTERALE,PIPERACILLINA TAZOBACTAM*1 flaconcino EV 4 g + 0 5 g,13 82,8 38,-,HOSPIRA ITALIA Srl,039057031,BHZ,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 2+0 25G 10 UNITA' USO PARENTERALE,PIPERACILLINA TAZOBACTAM*10 flaconcini EV 2 g + 0 25 g,60 37,36 58,-,IBIGEN Srl,038476026,HHP,
Piperacillina/tazobactam,PIPERACILLINA+TAZOBACTAM 4+0 5G 10 UNITA' USO PARENTERALE,PIPERACILLINA TAZOBACTAN*10 flaconcini EV 4 g + 0 5 g,138 25,83 77,-,IBIGEN Srl,038476040,BIF,
Piperacillina,PIPERACILLINA 4.000MG 1 UNITA' USO PARENTERALE,PIPERACILLINA*1 fiala soluz iniett 4 g,12 27,5 58,-,K24 PHARMACEUTICALS Srl,033423031,BHX,
Piperacillina,PIPERACILLINA 4.000MG 1 UNITA' USO PARENTERALE,PIPERITAL*1 flaconcino EV 4 g,13 82,6 28,-,I.B.I.GIOVANNI LORENZINI SpA,028735037,BHX,
Piperacillina,PIPERACILLINA 2.000MG 10 UNITA' USO PARENTERALE,PIPERITAL*10 flaconcini 2 g polv iniet,41 39,25 08,-,I.B.I.GIOVANNI LORENZINI SpA,028735049,BHW,
Piperacillina,PIPERACILLINA 4.000MG 10 UNITA' USO PARENTERALE,PIPERTEX*10 fiale 4 g polv iniett,141 88,64 50,-,PHARMATEX ITALIA Srl,033958036,BHY,
Proteine Plasmatiche Umane,PROTEINE PLASMATICHE UMANE 200ML 1 UNITA' USO PARENTERALE,PLASMAGRADE*1 sacca EV 200 ml,-,-,75 00,KEDRION SpA,041868011,BIX,
Proteine Plasmatiche Umane,PROTEINE PLASMATICHE UMANE 200ML 1 UNITA' USO PARENTERALE,PLASMASAFE*1 sacca EV 200 ml,-,-,75 00,KEDRION SpA,033369012,BIX,
Cisplatino,CISPLATINO 10MG 1 UNITA' USO PARENTERALE,PLATAMINE*1 flacone EV 10 mg polv,8 76,3 98,-,PFIZER ITALIA Srl,024772016,AIQ,
Cisplatino,CISPLATINO 25MG 1 UNITA' USO PARENTERALE,PLATAMINE*1 flacone EV 25 mg polv,17 69,8 04,-,PFIZER ITALIA Srl,024772028,AIT,
Clopidogrel,CLOPIDOGREL 300MG 30 UNITA' USO ORALE,PLAVIX*30 cpr riv 300 mg,252 34,152 89,-,SANOFI SpA,034128052,AJM,
Idrocortisone,IDROCORTISONE 20MG 50 UNITA' USO ORALE RM,PLENADREN*50 cpr 20 mg rilascio modificato flacone,676 23,409 74,-,SHIRE ITALIA SpA,042487025,IWR,
Idrocortisone,IDROCORTISONE 5MG 50 UNITA' USO ORALE RM,PLENADREN*50 cpr 5 mg rilascio modificato flacone,406 63,246 38,-,SHIRE ITALIA SpA,042487013,IWQ,
Dinoprostone,DINOPROSTONE 0 5MG 3G 1 UNITA' GEL USO ENDOCERVICALE,PREPIDIL*gel endocervicale 1 siringa 0 5 mg/3 g,39 98,18 16,-,PFIZER ITALIA Srl,028439014,ALD,
Dinoprostone,DINOPROSTONE 1MG 3G 1 UNITA' GEL USO GINECOLOGICO,PREPIDIL*gel vag 1 siringa 1 mg/3 g,44 66,20 30,-,PFIZER ITALIA Srl,028439026,ALF,
Dinoprostone,DINOPROSTONE 2MG 3G 1 UNITA' GEL USO GINECOLOGICO,PREPIDIL*gel vag 1 siringa 2 mg/3 g,60 99,27 72,-,PFIZER ITALIA Srl,028439038,ALG,
Darunavir,DARUNAVIR 150MG 240 UNITA' USO ORALE,PREZISTA*240 cpr riv 150 mg flacone,1.085 83,657 92,-,JANSSEN CILAG SpA,037634045,AJZ,
Darunavir,DARUNAVIR 800MG 30 UNITA' USO ORALE,PREZISTA*30 cpr riv 800 mg flacone,714 78,433 10,-,JANSSEN CILAG SpA,037634072,IWP,
Darunavir,DARUNAVIR 400MG 60 UNITA' USO ORALE,PREZISTA*60 cpr riv 400 mg flacone,714 78,433 10,-,JANSSEN CILAG SpA,037634033,AKC,
Darunavir,DARUNAVIR 600MG 60 UNITA' USO ORALE,PREZISTA*60 cpr riv 600 mg flacone,1.085 83,657 92,-,JANSSEN CILAG SpA,037634021,AKD,
Darunavir,DARUNAVIR 100MG/ML 200ML USO ORALE,PREZISTA*os sosp 1 flacone 200 ml 100 mg/ml,595 65,360 91,-,JANSSEN CILAG SpA,037634060,BYW,
Ziconotide,ZICONOTIDE 100MCG 1ML 1 UNITA' USO INTRATECALE,PRIALT*1 flaconcino 1 ml 100 mcg/ml soluzione intratecale,556 10,336 95,-,EISAI Srl,037310012,BQC,
Ziconotide,ZICONOTIDE 500MCG 5ML 1 UNITA' USO INTRATECALE,PRIALT*1 flaconcino 5 ml 100 mcg/ml soluzione intratecale,2.780 52,1.684 74,-,EISAI Srl,037310036,BQD,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE,PRIVIGEN*1 flacone EV 100 ml 100 mg/ml,831 80,504 00,-,CSL BEHRING SpA,039712029,AUY,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE,PRIVIGEN*1 flacone EV 200 ml 100 mg/ml,1.663 60,1.008 00,-,CSL BEHRING SpA,039712031,AVL,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 2 5G 25ML 1 UNITA' USO PARENTERALE,PRIVIGEN*1 flacone EV 25 ml 100 mg/ml,207 95,126 00,-,CSL BEHRING SpA,039712043,AVJ,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE,PRIVIGEN*1 flacone EV 50 ml 100 mg/ml,415 90,252 00,-,CSL BEHRING SpA,039712017,AVS,
Gadoteridolo,GADOTERIDOLO 2.793MG 10ML 1 UNITA' USO PARENTERALE,PROHANCE*1 fiala EV 10 ml 279 3 mg/ml,49 94,22 70,-,BRACCO IMAGING ITALIA Srl,029055023,ASS,
Gadoteridolo,GADOTERIDOLO 4.189 5MG 15ML 1 UNITA' USO PARENTERALE,PROHANCE*1 fiala EV 15 ml 279 3 mg/ml,74 90,34 04,-,BRACCO IMAGING ITALIA Srl,029055047,AST,
Gadoteridolo,GADOTERIDOLO 5.586MG 20ML 1 UNITA' USO PARENTERALE,PROHANCE*1 fiala EV 20 ml 279 3 mg/ml,86 65,39 39,-,BRACCO IMAGING ITALIA Srl,029055035,ASU,
Gadoteridolo,GADOTERIDOLO 1.396 5MG 5ML 1 UNITA' USO PARENTERALE,PROHANCE*1 fiala EV 5 ml 279 3 mg/ml,24 98,11 35,-,BRACCO IMAGING ITALIA Srl,029055011,ASQ,
Gadoteridolo,GADOTERIDOLO 13.965MG 50ML 1 UNITA' USO PARENTERALE,PROHANCE*1 flacone EV 50 ml 279 3 mg/ml,162 46,98 44,-,BRACCO IMAGING ITALIA Srl,029055124,ASR,
Alfa 1 Antitripsina Umana,ALFA 1 ANTITRIPSINA UMANA 1.000MG 40ML 1 UNITA' USO PARENTERALE,PROLASTIN*1 fiala EV 1 g + 1 fiala solv 40 ml,528 13,320 00,-,GRIFOLS ITALIA SpA,037709019,ACW,
Aldesleuchina,ALDESLEUCHINA 18.000.000UI 1 UNITA' USO PARENTERALE,PROLEUKIN*1 fiala EV 18.000.000 UI/ml,231 57,140 32,-,NOVARTIS FARMA SpA,027131010,ACT,
Fattore II/Fattore VII/Fattore IX/Fattore X della coagulazione/Proteina C/Proteina S,FATTORE II+FATTORE VII+FATTORE IX+FATTORE X DELLA COAGULAZIONE+PROTEINA C+PROTEINA S 500UI 20ML 1 UNITA' USO PARENTERALE,PRONATIV*1 flaconcino EV 500 UI + 1 flaconcino solv 20 ml,379 59,230 00,-,OCTAPHARMA ITALY SPA,039240015,APS,
Cisplatino,CISPLATINO 10MG 20ML 1 UNITA' USO PARENTERALE,PRONTO PLATAMINE*1 flaconcino EV 10 mg 20 ml,9 84,4 47,-,PFIZER ITALIA Srl,027069018,AIS,
Cisplatino,CISPLATINO 25MG 50ML 1 UNITA' USO PARENTERALE,PRONTO PLATAMINE*1 flaconcino EV 25 mg 50 ml,20 02,9 10,-,PFIZER ITALIA Srl,027069020,AIU,
Cisplatino,CISPLATINO 50MG 100ML 1 UNITA' USO PARENTERALE,PRONTO PLATAMINE*1 flaconcino EV 50 mg 100 ml,35 37,16 07,-,PFIZER ITALIA Srl,027069032,AIV,
Bario solfato,BARIO SOLFATO 340G USO ORALE,PRONTOBARIO HD*os polv 340 g,7 32,3 33,-,BRACCO IMAGING ITALIA Srl,028558017,AFM,
Bario solfato,BARIO SOLFATO 4 9% 225ML USO ORALE,PRONTOBARIO TAC*os sosp 225 ml 4 9%,5 16,2 35,-,BRACCO IMAGING ITALIA Srl,028559019,AFO,
Propofol,PROPOFOL 1.000MG 100ML 10 UNITA' USO PARENTERALE,PROPOFOL KABI*10 flaconcini EV 100 ml 10 mg/ml,216 14,130 96,-,FRESENIUS KABI ITALIA Srl,036849091,BIM,
Propofol,PROPOFOL 500MG 50ML 10 UNITA' USO PARENTERALE,PROPOFOL KABI*10 flaconcini EV 50 ml 10 mg/ml,112 07,67 91,-,FRESENIUS KABI ITALIA Srl,036849065,BIR,
Propofol,PROPOFOL 1.000MG 50ML 10 UNITA' USO PARENTERALE,PROPOFOL KABI*10 flaconcini EV 50 ml 20 mg/ml,197 66,119 77,-,FRESENIUS KABI ITALIA Srl,036849127,BIO,
Propofol,PROPOFOL 200MG 20ML 5 UNITA' USO PARENTERALE,PROPOFOL KABI*5 fiale IV 20 ml 10 mg/ml,22 31,13 52,-,FRESENIUS KABI ITALIA Srl,036849014,BIP,
Propofol,PROPOFOL 200MG 20ML 5 UNITA' USO PARENTERALE,PROPOFOL KABI*5 flaconcini EV 20 ml 10 mg/ml,22 31,13 52,-,FRESENIUS KABI ITALIA Srl,036849038,BIP,
Propofol,PROPOFOL 1.000MG 50ML 1 UNITA' USO PARENTERALE,PROPOFOL*1 flaconcino 1.000 mg 50 ml,21 09,12 78,-,I.B.I.GIOVANNI LORENZINI SpA,034407130,BIN,
Propofol,PROPOFOL 500MG 50ML 1 UNITA' USO PARENTERALE,PROPOFOL*1 flaconcino 500 mg 50 ml,12 55,7 61,-,I.B.I.GIOVANNI LORENZINI SpA,034407041,BIQ,
Propofol,PROPOFOL 1.000MG 100ML 1 UNITA' USO PARENTERALE,PROPOFOL*1 flacone 1.000 mg 100 ml,24 35,14 75,-,I.B.I.GIOVANNI LORENZINI SpA,034407078,BIL,
Propofol,PROPOFOL 1.000MG 50ML 10 UNITA' USO PARENTERALE,PROPOFOL*10 flaconcini 50 ml 2%,160 60,97 31,-,B.BRAUN MILANO SpA,035911078,BIO,
